feature,shap_importance
CNT,5.022727
UTCday_of_week,1.3829405
PressurehPa,0.59487575
NC05,0.4020829
PM10,0.31564495
eCO2ppm,0.31367472
RawH2,0.27266476
NC25,0.27096716
TemperatureC,0.22227702
TVOCppb,0.15657616
UTCday_part,0.14985216
Humidity,0.14953554
RawEthanol,0.03126823
NC10,0.020850625
UTCminute,0.017285937
PM25,0.013787225
UTCsecond,0.011315942
UTCday,0.0
UTCday_of_year,0.0
UTCweekofyear,0.0
UTChour,0.0
