feature,shap_importance
CNT,0.3434402874332581
PressurehPa,0.0481700566435521
RawH2,0.021601773802883324
UTCday_of_week,0.012071886420340237
NC05,0.002453578703199734
Humidity,0.0010360506970841432
TemperatureC,0.0
UTCday,0.0
UTCsecond,0.0
UTCminute,0.0
UTChour,0.0
UTCweekofyear,0.0
UTCday_of_year,0.0
NC10,0.0
NC25,0.0
PM25,0.0
PM10,0.0
RawEthanol,0.0
eCO2ppm,0.0
TVOCppb,0.0
UTCday_part,0.0
