feature,mean_importance
TemperatureC,0.0
UTChour,0.0
UTCweekofyear,0.0
UTCday_of_year,0.0
UTCday_of_week,0.0
UTCday,0.0
NC25,0.0
UTCsecond,0.0
NC05,0.0
NC10,0.0
PM10,0.0
RawEthanol,0.0
eCO2ppm,0.0
TVOCppb,0.0
Humidity,0.0
PM25,0.0
UTCday_part,0.0
UTCminute,0.033687337968452406
RawH2,0.050189417141453904
PressurehPa,0.10220469632142885
CNT,3.6333680409893154
