feature,shap_importance
CNT,0.3420271460052705
RawH2,0.043226224250421025
PressurehPa,0.012523858596611067
UTCminute,0.001319374263714661
TemperatureC,0.0
UTCsecond,0.0
UTChour,0.0
UTCweekofyear,0.0
UTCday_of_year,0.0
UTCday_of_week,0.0
UTCday,0.0
NC10,0.0
NC25,0.0
Humidity,0.0
NC05,0.0
PM25,0.0
PM10,0.0
RawEthanol,0.0
eCO2ppm,0.0
TVOCppb,0.0
UTCday_part,0.0
